src_owner,src_scope,src_macrophase,src_target,src_landingzone,src_securityzone,src_implementationzone,src_component,src_component_instance,src_container,src_hosting,src_endpoints,src_provider,src_securityarea,dst_owner,dst_scope,dst_macrophase,dst_target,dst_landingzone,dst_securityzone,dst_implementationzone,dst_component,dst_component_instance,dst_container,dst_hosting,dst_endpoints,dst_provider,dst_securityarea,svc_owner,svc_scope,svc_name,svc_protocol,svc_port,svc_justification,svc_securityarea,dep_owner,dep_scope,dep_name,dep_genericsource,dep_generictarget,dep_justification,dep_securityarea,security_status,rule,servicenow,
DVOPSRBX, R_Box, PRD, 158107052883, 158107052883, app, , R-Box OCP, 158107052883-argos-metrics-exporter, False, True, 10.111.123.0/24 10.111.125.0/24 10.111.126.0/26 , Amazon - AWS, BackLog, DDMMARG, Argos, PRD, prd-ne, amacp-prd-ne-gob-net-01, tnz, , ARGOS GOB, ARGOS GOB irl1, True, False, 10.57.18.128/25 , Microsoft - Azure, BackLog, DDMMARG, Argos, Argos Thanos World (https), Tcp, 443, , BackLog, DVOPSRBX, R_Box, 158107052883-argos-metrics-exporter to ARGOS GOB, False, False, In CAB we export metrics/logs related data from GCP to the Argos Team in Azure for long term data storage., BackLog, True, Security_approval_RITM0013884, RITM0013884, 
DVOPSRBX, R_Box, PRD, 158107052883, 158107052883, app, , R-Box OCP, 158107052883-argos-metrics-exporter, False, True, 10.111.123.0/24 10.111.125.0/24 10.111.126.0/26 , Amazon - AWS, BackLog, DDMMARG, Argos, CCP, ccp-ne, amacp-ccp-ne-obs-gob-01-net-01, tnz, , ARGOS GOB, ARGOS GOB ccp-ne-ogob01a, True, False, 10.57.34.0/23 10.57.37.0/27 10.57.38.0/23 10.57.46.0/24 10.57.47.0/24 , Microsoft - Azure, BackLog, DDMMARG, Argos, Argos Thanos Receive (remote-write), Tcp, 443, This is the Argos entrypoint for pushing remote-write metrics, BackLog, DVOPSRBX, R_Box, 158107052883-argos-metrics-exporter to ARGOS GOB CCP, False, False, In CAB we export metrics/logs related data from GCP to the Argos Team in Azure for long term data storage., BackLog, False, , , 
